"Country/Territory";"Epidemiological Weeks";"Suspected";"Confirmed";"Imported cases";"Incidence Ratec";"Deaths";"Populatione X 1000"
"Saint Martin (French part)";"Week 33";"3";"793";NULL;NULL;"3";"36"
"Subtotal";NULL;"573";"4,945";"32";NULL;"37";"36,839"
"Andean Area";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Bolivia";"Week 29";NULL;"0";"3";"0";"0";"10,671"
"Colombia";"Week 30";NULL;"0";"1";"0";"0";"48,321"
"Ecuador";NULL;NULL;"0";NULL;"0";"0";"15,738"
"Peru";"Week 28";NULL;"0";"3";"0";"0";"30,376"
"Venezuela /";"Week 33";NULL;"82";"70";"0";"0";"30,405"
"Subtotal";NULL;"0";"82";"77";"0";"0";"135,51"
"Southern Cone";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Argentina";"Week 31";NULL;"0";"1";"0";"0";"41,446"
"Brazil";"Week 25";NULL;"0";"11";"0";"0";"200,36"
"Chile";"Week 22";NULL;"0";"2";"0";"0";"17,620"
"Paraguay";"Week 27";NULL;"0";"1";"0";"0";"6,802"
"Subtotal";NULL;"0";"0";"15";"0";"0";"266,23"
"Non-Latin Caribbean";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Anguilla";"Week 31";NULL;"38";"2";NULL;"0";"16"
"Antigua and Barbuda";"Week 20";NULL;"4";NULL;"4.4";"0";"90"
"Aruba";"Week 34";NULL;"4";"12";"3.7";"0";"109"
"Bahamas";"Week 31";NULL;"13";"4";"3.4";"0";"377"
"Barbados";"Week 32";"67";"7";"6";"25.6";"0";"289"
"Cayman Islands";"Week 30";NULL;"1";"3";"1.9";"0";"54"
"Curacao";"Week 34";NULL;"14";"7";"9.5";"0";"147"
"Dominica";"Week 28";"3";"141";NULL;NULL;"0";"73"
"Grenada";"Week 26";NULL;"5";NULL;"4.5";"0";"110"
"Guyana";"Week 23";NULL;"16";NULL;"2";"0";"800"
"Jamaica";"Week 33";NULL;"6";"2";"0.2";"0";"2,784"
"Montserrat";NULL;NULL;"0";NULL;"0";"0";"5"
"Saint Kitts and Nevis";"Week 21";"31";"28";NULL;NULL;"0";"51"
"Saint Lucia";"Week 23";"214";"30";NULL;NULL;"0";"163"
"Saint Vincent and the Grenadines";"Week 23";"329";"67";NULL;NULL;"0";"103"
"Sint Maarten (Dutch part)Ξ";"Week 12";NULL;"123";NULL;NULL;"0";"40"
"Suriname`";"Week 30";NULL;"24";"5";"4.5";"0";"539"
"Trinidad and Tobago";"Week 31";NULL;"2";"3";"0.1";"0";"1,341"
"Turks and Caicos Islands";"Week 28";NULL;"10";"7";"20.8";"0";"48"
"Virgin Islands (UK)";"Week 19";NULL;"20";NULL;"62.5";"0";"32"
"Virgin Islands (US)";"Week 33";"214";"25";"2";NULL;"0";"105"
"Subtotal";NULL;"4";"578";"53";NULL;"0";"7,276"
"TOTAL";NULL;"583";"5,619";"836";"61.1";"37";"964,34"
"Country/Territory";"Week";"0";NULL;NULL;"c";NULL;"Popula"
NULL;NULL;"0";"Confi";NULL;NULL;NULL;"X 1000"
"North America";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Bermuda";NULL;NULL;"0";NULL;"0";"0";"69"
"Canada";"Week 32";NULL;"0";"8";"0";"0";"35,182"
"Mexico";"Week 24";NULL;"0";"1";"0";"0";"118,12"
"United States of America >";"Week 35";NULL;"6";"690";"0";"0";"320,05"
"Subtotal";NULL;"0";"6";"699";"0";"0";"473,43"
"Central American Isthmus";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Belize";NULL;NULL;"0";NULL;"0";"0";"332"
"Costa Rica";"Week 29";NULL;"1";NULL;"0";"0";"4,872"
"El Salvador";"Week 34";"8";"8";NULL;NULL;"0";"6,340"
"Guatemala";NULL;NULL;"0";NULL;"0";"0";"15,468"
"Honduras";NULL;NULL;"0";NULL;"0";"0";"8,098"
"Nicaragua";"Week 35";NULL;"0";"9";"0";"0";"6,080"
"Panama";"Week 30";NULL;"1";"12";"0";"0";"3,864"
"Subtotal";NULL;"8";"10";"21";NULL;"0";"45,054"
"Latin Caribbean";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Cuba";"Week 33";NULL;"0";"13";"0";"0";"11,266"
"Dominican Republic";"Week 34";"429";"71";NULL;NULL;"6";"10,404"
"French Guiana";"Week 34";NULL;"2,206";NULL;NULL;"0";"249"
"Guadaloupe";"Week 34";"75";"1,328";NULL;NULL;"9";"466"
"Haiti";"Week 28";"64";"14";NULL;NULL;"0";"10,317"
"Martinique";"Week 34";"59";"1,515";NULL;NULL;"19";"404"
"Puerto Ricoe";"Week 31";"4";"1,207";"19";NULL;"0";"3,688"
"Saint Barthelemy";"Week 34";"900";"142";NULL;NULL;"0";"9"
"Saint Martin (French part)";"Week 34";"3";"793";NULL;NULL;"3";"36"
"Subtotal";NULL;"637";"7,276";"32";NULL;"37";"36,839"
"Andean Area";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Bolivia";"Week 29";NULL;"0";"3";"0";"0";"10,671"
"Colombia";"Week 30";NULL;"0";"1";"0";"0";"48,321"
"Ecuador";NULL;NULL;"0";NULL;"0";"0";"15,738"
"Peru";"Week 28";NULL;"0";"3";"0";"0";"30,376"
"Venezuela /";"Week 34";NULL;"125";"70";"0";"0";"30,405"
"Subtotal";NULL;"0";"125";"77";"0";"0";"135,51"
"Southern Cone";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Argentina";"Week 31";NULL;"0";"4";"0";"0";"41,446"
"Brazil";"Week 34";NULL;"0";"12";"0";"0";"200,36"
"Chile";"Week 22";NULL;"0";"2";"0";"0";"17,620"
"Paraguay";"Week 27";NULL;"0";"1";"0";"0";"6,802"
"Subtotal";NULL;"0";"0";"19";"0";"0";"266,23"
"Non-Latin Caribbean";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Anguilla";"Week 31";NULL;"38";"2";NULL;"0";"16"
"Antigua and Barbuda";"Week 20";NULL;"4";NULL;"4.4";"0";"90"
"Aruba";"Week 34";NULL;"4";"12";"3.7";"0";"109"
"Bahamas";"Week 31";NULL;"13";"4";"3.4";"0";"377"
"Barbados";"Week 32";"67";"1";"6";"23.5";"0";"289"
"Cayman Islands";"Week 30";NULL;"1";"3";"1.9";"0";"54"
"Curacao";"Week 34";NULL;"14";"7";"9.5";"0";"147"
"Dominica";"Week 28";"3";"141";NULL;NULL;"0";"73"
"Grenada";"Week 26";NULL;"5";NULL;"4.5";"0";"110"
"Guyana";"Week 23";NULL;"16";NULL;"2";"0";"800"
"Jamaica";"Week 34";NULL;"15";"2";"0.5";"0";"2,784"
"Montserrat";NULL;NULL;"0";NULL;"0";"0";"5"
"Saint Kitts and Nevis";"Week 21";"31";"28";NULL;NULL;"0";"51"
"Saint Lucia";"Week 23";"214";"30";NULL;NULL;"0";"163"
"Saint Vincent and the Grenadines";"Week 23";"329";"67";NULL;NULL;"0";"103"
"Sint Maarten (Dutch part)Ξ";"Week 12";NULL;"123";NULL;NULL;"0";"40"
"Suriname`";"Week 30";NULL;"24";"5";"4.5";"0";"539"
"Trinidad and Tobago";"Week 31";NULL;"2";"3";"0.1";"0";"1,341"
"Turks and Caicos Islands";"Week 28";NULL;"10";"7";"20.8";"0";"48"
"Virgin Islands (UK)";"Week 19";NULL;"20";NULL;"62.5";"0";"32"
"Virgin Islands (US)";"Week 34";"311";"25";"2";NULL;"0";"105"
"Subtotal";NULL;"4";"581";"53";NULL;"0";"7,276"
"TOTAL";NULL;"650";"7,998";"901";"68.3";"37";"964,34"
"Country/Territory";"a";"0";NULL;"Impor";"c";"De";"Popula"
NULL;"Week";NULL;NULL;NULL;"Inciden";NULL;NULL
NULL;NULL;"0";"Confi";"(conf";NULL;NULL;"X 1000"
"North America";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Bermuda";NULL;NULL;"0";NULL;"0";"0";"69"
"Canada";"Week 32";NULL;"0";"8";"0";"0";"35,182"
"Mexico";"Week 49";NULL;"74";"13";"0.1";"0";"118,12"
"United States of America >";"Week 49";NULL;"11";"1,900";"0";"0";"320,05"
"Subtotal";NULL;NULL;"85";"1,921";"0";"0";"473,43"
"Central American Isthmus";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Belize";"Week 44";NULL;"3";NULL;"0.9";"0";"332"
"Costa Rica";"Week 47";NULL;"1";"17";"0";"0";"4,872"
"El Salvador";"Week 47";"135";"157";NULL;"2,135.4";"0";"6,340"
"Guatemala";"Week 48";"579";"49";NULL;"4.1";"0";"15,468"
"Honduras";"Week 47";"1";"9";"5";"17.2";"0";"8,098"
"Nicaragua";"Week 46";NULL;"542";"40";"8.9";"0";"6,080"
"Panama";"Week 47";NULL;"32";"28";"0.8";"0";"3,864"
"Subtotal";NULL;"137";"793";"90";"306.3";"0";"45,054"
"Latin Caribbean";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Cuba";"Week 42";NULL;NULL;"20";"0";"0";"11,266"
"Dominican Republic";"Week 41";"498";"84";NULL;"4,796.2";"6";"10,404"
"French Guiana";"Week 48";"8";"5,020";NULL;"5,298.0";"0";"249"
"Guadaloupe";"Week 46";"80";"430";NULL;"17,466.";"59";"466"
"Haiti";"Week 28";"64";"14";NULL;"627.2";"0";"10,317"
"Martinique";"Week 46";"78";"1,515";NULL;"61,430.";"76";"404"
"Puerto Ricoe";"Week 45";"20";"3,675";"31";"662.8";"5";"3,688"
"Saint Barthelemy";"Week 46";"1";"142";NULL;"12,988.";"0";"9"
"Saint Martin (French part)";"Week 46";"3";"793";NULL;"12,787.";"3";"36"
"Subtotal";NULL;"756";"11,67";"51";"2,085.6";"14";"36,839"
"Andean Area";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Bolivia";"Week 46";NULL;"0";"4";"0";"0";"10,671"
"Colombia";"Week 47";"39";"338";"26";"82";"3";"48,321"
"Ecuador";"Week 40";NULL;"0";"1";"0";"0";"15,738"
"Peru";"Week 42";NULL;"0";"7";"0";"0";"30,376"
"Venezuela";"Week 46";"26";"1,866";"70";"93";"0";"30,405"
"Subtotal";NULL;"65";"2,204";"108";"50";"3";"135,51"
"Southern Cone";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Argentina";"Week 44";NULL;NULL;"22";"0";"0";"41,446"
"Brazil";"Week 45";NULL;"173";"37";"0.1";"0";"200,36"
"Chile";"Week 48";NULL;"0";"11";"0";"0";"17,620"
"Paraguay";"Week 45";NULL;"1";"6";"0";"0";"6,802"
"Subtotal";NULL;"0";"174";"76";"0";"0";"266,23"
"Non-Latin Caribbean";NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Anguilla";"Week 45";NULL;"49";"2";"306.3";"0";"16"
"Antigua and Barbuda";"Week 45";"1";"18";NULL;"1,574.4";"0";"90"
